RNo,Day,Weekday,Student Location,LocationNumber,Mem,Abs,AttendancePercent,label,County,results
R001,12-08-20,Wednesday,CONROE ISD,170902,64469,181,99.72,0.28,Montgomery,1
R002,13-08-20,Thursday,CONROE ISD,170902,64604,1299,97.99,2.01,Montgomery,0
R003,14-08-20,Friday,CONROE ISD,170902,64690,1917,97.04,2.96,Montgomery,0
R004,17-08-20,Monday,CONROE ISD,170902,63726,1326,97.92,2.08,Montgomery,0
R005,18-08-20,Tuesday,CONROE ISD,170902,63747,1310,97.95,2.05,Montgomery,0
R006,19-08-20,Wednesday,CONROE ISD,170902,63814,1043,98.37,1.63,Montgomery,1
R007,20-08-20,Thursday,CONROE ISD,170902,63814,930,98.54,1.46,Montgomery,1
R008,21-08-20,Friday,CONROE ISD,170902,63814,1140,98.21,1.79,Montgomery,1
R009,24-08-20,Monday,CONROE ISD,170902,63939,1245,98.05,1.95,Montgomery,1
R0010,25-08-20,Tuesday,CONROE ISD,170902,63980,1179,98.16,1.84,Montgomery,1
R0011,31-08-20,Monday,CONROE ISD,170902,64014,1923,97.0,3.0,Montgomery,0
R0012,01-09-20,Tuesday,CONROE ISD,170902,64059,1759,97.25,2.75,Montgomery,0
R0013,02-09-20,Wednesday,CONROE ISD,170902,64085,1680,97.38,2.62,Montgomery,0
R0014,03-09-20,Thursday,CONROE ISD,170902,64118,1859,97.1,2.9,Montgomery,0
R0015,04-09-20,Friday,CONROE ISD,170902,64145,1988,96.9,3.1,Montgomery,0
R0016,08-09-20,Tuesday,CONROE ISD,170902,64268,1701,97.35,2.65,Montgomery,0
R0017,09-09-20,Wednesday,CONROE ISD,170902,64293,1498,97.67,2.33,Montgomery,0
R0018,10-09-20,Thursday,CONROE ISD,170902,64303,1731,97.31,2.69,Montgomery,0
R0019,11-09-20,Friday,CONROE ISD,170902,64312,1966,96.94,3.06,Montgomery,0
R0020,14-09-20,Monday,CONROE ISD,170902,64360,2159,96.65,3.35,Montgomery,0
R0021,15-09-20,Tuesday,CONROE ISD,170902,64381,1916,97.02,2.98,Montgomery,0
R0022,16-09-20,Wednesday,CONROE ISD,170902,64391,1864,97.11,2.89,Montgomery,0
R0023,17-09-20,Thursday,CONROE ISD,170902,64400,2002,96.89,3.11,Montgomery,0
R0024,18-09-20,Friday,CONROE ISD,170902,64398,2277,96.46,3.54,Montgomery,0
R0025,21-09-20,Monday,CONROE ISD,170902,64421,2478,96.15,3.85,Montgomery,0
R0026,22-09-20,Tuesday,CONROE ISD,170902,64436,2662,95.87,4.13,Montgomery,0
R0027,23-09-20,Wednesday,CONROE ISD,170902,64436,2304,96.42,3.58,Montgomery,0
R0028,24-09-20,Thursday,CONROE ISD,170902,64450,2006,96.89,3.11,Montgomery,0
R0029,25-09-20,Friday,CONROE ISD,170902,64451,2337,96.37,3.63,Montgomery,0
R0030,28-09-20,Monday,CONROE ISD,170902,64476,2336,96.38,3.62,Montgomery,0
R0031,29-09-20,Tuesday,CONROE ISD,170902,64495,1938,97.0,3.0,Montgomery,0
R0032,30-09-20,Wednesday,CONROE ISD,170902,64512,1852,97.13,2.87,Montgomery,0
R0033,01-10-20,Thursday,CONROE ISD,170902,64528,1933,97.0,3.0,Montgomery,0
R0034,02-10-20,Friday,CONROE ISD,170902,64526,2320,96.4,3.6,Montgomery,0
R0035,05-10-20,Monday,CONROE ISD,170902,64540,2423,96.25,3.75,Montgomery,0
R0036,06-10-20,Tuesday,CONROE ISD,170902,64565,1990,96.92,3.08,Montgomery,0
R0037,07-10-20,Wednesday,CONROE ISD,170902,64581,1948,96.98,3.02,Montgomery,0
R0038,08-10-20,Thursday,CONROE ISD,170902,64579,2053,96.82,3.18,Montgomery,0
R0039,13-10-20,Tuesday,CONROE ISD,170902,64623,2177,96.63,3.37,Montgomery,0
R0040,14-10-20,Wednesday,CONROE ISD,170902,64648,2459,96.2,3.8,Montgomery,0
R0041,15-10-20,Thursday,CONROE ISD,170902,64610,1970,96.95,3.05,Montgomery,0
R0042,16-10-20,Friday,CONROE ISD,170902,64567,2502,96.12,3.88,Montgomery,0
R0043,19-10-20,Monday,CONROE ISD,170902,64580,2226,96.55,3.45,Montgomery,0
R0044,20-10-20,Tuesday,CONROE ISD,170902,64598,1870,97.11,2.89,Montgomery,0
R0045,21-10-20,Wednesday,CONROE ISD,170902,64575,1856,97.13,2.87,Montgomery,0
R0046,22-10-20,Thursday,CONROE ISD,170902,64584,1961,96.96,3.04,Montgomery,0
R0047,23-10-20,Friday,CONROE ISD,170902,64582,2406,96.27,3.73,Montgomery,0
R0048,26-10-20,Monday,CONROE ISD,170902,64596,2299,96.44,3.56,Montgomery,0
R0049,27-10-20,Tuesday,CONROE ISD,170902,64611,2004,96.9,3.1,Montgomery,0
R0050,28-10-20,Wednesday,CONROE ISD,170902,64637,2045,96.84,3.16,Montgomery,0
R0051,29-10-20,Thursday,CONROE ISD,170902,64629,2089,96.77,3.23,Montgomery,0
R0052,30-10-20,Friday,CONROE ISD,170902,64618,2947,95.44,4.56,Montgomery,0
R0053,02-11-20,Monday,CONROE ISD,170902,64604,3613,94.41,5.59,Montgomery,0
R0054,08-09-20,Tuesday,CYPRESS-FAIRBANKS ISD,101907,109623,52,99.95,0.05,Harris,1
R0055,09-09-20,Wednesday,CYPRESS-FAIRBANKS ISD,101907,111329,3785,96.6,3.4,Harris,0
R0056,10-09-20,Thursday,CYPRESS-FAIRBANKS ISD,101907,112339,3872,96.55,3.45,Harris,0
R0057,11-09-20,Friday,CYPRESS-FAIRBANKS ISD,101907,112723,4650,95.87,4.13,Harris,0
R0058,14-09-20,Monday,CYPRESS-FAIRBANKS ISD,101907,113133,4901,95.67,4.33,Harris,0
R0059,15-09-20,Tuesday,CYPRESS-FAIRBANKS ISD,101907,113397,4695,95.86,4.14,Harris,0
R0060,16-09-20,Wednesday,CYPRESS-FAIRBANKS ISD,101907,113645,4663,95.9,4.1,Harris,0
R0061,17-09-20,Thursday,CYPRESS-FAIRBANKS ISD,101907,113857,4982,95.62,4.38,Harris,0
R0062,18-09-20,Friday,CYPRESS-FAIRBANKS ISD,101907,113973,5961,94.77,5.23,Harris,0
R0063,21-09-20,Monday,CYPRESS-FAIRBANKS ISD,101907,114152,6604,94.21,5.79,Harris,0
R0064,22-09-20,Tuesday,CYPRESS-FAIRBANKS ISD,101907,112723,4901,95.67,4.33,Harris,0
R0065,23-09-20,Wednesday,CYPRESS-FAIRBANKS ISD,101907,114288,7838,93.14,6.86,Harris,0
R0066,24-09-20,Thursday,CYPRESS-FAIRBANKS ISD,101907,114408,5736,94.99,5.01,Harris,0
R0067,25-09-20,Friday,CYPRESS-FAIRBANKS ISD,101907,114478,6585,94.25,5.75,Harris,0
R0068,28-09-20,Monday,CYPRESS-FAIRBANKS ISD,101907,114522,6381,94.43,5.57,Harris,0
R0069,29-09-20,Tuesday,CYPRESS-FAIRBANKS ISD,101907,114560,5847,94.9,5.1,Harris,0
R0070,30-09-20,Wednesday,CYPRESS-FAIRBANKS ISD,101907,114611,5587,95.12,4.88,Harris,0
R0071,01-10-20,Thursday,CYPRESS-FAIRBANKS ISD,101907,114440,5865,94.88,5.12,Harris,0
R0072,02-10-20,Friday,CYPRESS-FAIRBANKS ISD,101907,114407,6813,94.04,5.96,Harris,0
R0073,05-10-20,Monday,CYPRESS-FAIRBANKS ISD,101907,114463,6943,93.93,6.07,Harris,0
R0074,06-10-20,Tuesday,CYPRESS-FAIRBANKS ISD,101907,114578,7665,93.31,6.69,Harris,0
R0075,07-10-20,Wednesday,CYPRESS-FAIRBANKS ISD,101907,114663,6848,94.03,5.97,Harris,0
R0076,08-10-20,Thursday,CYPRESS-FAIRBANKS ISD,101907,114716,6145,94.64,5.36,Harris,0
R0077,09-10-20,Friday,CYPRESS-FAIRBANKS ISD,101907,114710,7478,93.48,6.52,Harris,0
R0078,12-10-20,Monday,CYPRESS-FAIRBANKS ISD,101907,114731,8665,92.45,7.55,Harris,0
R0079,13-10-20,Tuesday,CYPRESS-FAIRBANKS ISD,101907,114779,6450,94.38,5.62,Harris,0
R0080,14-10-20,Wednesday,CYPRESS-FAIRBANKS ISD,101907,114815,6376,94.45,5.55,Harris,0
R0081,15-10-20,Thursday,CYPRESS-FAIRBANKS ISD,101907,114870,6120,94.67,5.33,Harris,0
R0082,16-10-20,Friday,CYPRESS-FAIRBANKS ISD,101907,114859,7667,93.32,6.68,Harris,0
R0083,19-10-20,Monday,CYPRESS-FAIRBANKS ISD,101907,114878,6246,94.56,5.44,Harris,0
R0084,20-10-20,Tuesday,CYPRESS-FAIRBANKS ISD,101907,114897,5542,95.18,4.82,Harris,0
R0085,21-10-20,Wednesday,CYPRESS-FAIRBANKS ISD,101907,114930,5579,95.15,4.85,Harris,0
R0086,22-10-20,Thursday,CYPRESS-FAIRBANKS ISD,101907,114911,5798,94.95,5.05,Harris,0
R0087,23-10-20,Friday,CYPRESS-FAIRBANKS ISD,101907,114913,7020,93.89,6.11,Harris,0
R0088,26-10-20,Monday,CYPRESS-FAIRBANKS ISD,101907,114926,6714,94.16,5.84,Harris,0
R0089,27-10-20,Tuesday,CYPRESS-FAIRBANKS ISD,101907,114950,5798,94.96,5.04,Harris,0
R0090,28-10-20,Wednesday,CYPRESS-FAIRBANKS ISD,101907,115002,5739,95.01,4.99,Harris,0
R0091,29-10-20,Thursday,CYPRESS-FAIRBANKS ISD,101907,115014,5885,94.88,5.12,Harris,0
R0092,30-10-20,Friday,CYPRESS-FAIRBANKS ISD,101907,114990,6941,93.96,6.04,Harris,0
R0093,02-11-20,Monday,CYPRESS-FAIRBANKS ISD,101907,114971,6063,94.73,5.27,Harris,0
R0094,03-11-20,Tuesday,CYPRESS-FAIRBANKS ISD,101907,114952,7495,93.48,6.52,Harris,0
R0095,17-08-20,Monday,FLOYDADA ISD,77901,650,0,100.0,0.0,Floyd,1
R0096,18-08-20,Tuesday,FLOYDADA ISD,77901,658,4,99.39,0.61,Floyd,1
R0097,19-08-20,Wednesday,FLOYDADA ISD,77901,660,7,98.94,1.06,Floyd,1
R0098,20-08-20,Thursday,FLOYDADA ISD,77901,661,14,97.81,2.19,Floyd,0
R0099,21-08-20,Friday,FLOYDADA ISD,77901,663,14,97.89,2.11,Floyd,0
R00100,24-08-20,Monday,FLOYDADA ISD,77901,668,28,95.74,4.26,Floyd,0
R00101,25-08-20,Tuesday,FLOYDADA ISD,77901,668,19,97.16,2.84,Floyd,0
R00102,26-08-20,Wednesday,FLOYDADA ISD,77901,669,32,95.22,4.78,Floyd,0
R00103,27-08-20,Thursday,FLOYDADA ISD,77901,670,37,94.4,5.6,Floyd,0
R00104,28-08-20,Friday,FLOYDADA ISD,77901,671,42,93.67,6.33,Floyd,0
R00105,31-08-20,Monday,FLOYDADA ISD,77901,670,48,92.77,7.23,Floyd,0
R00106,01-09-20,Tuesday,FLOYDADA ISD,77901,671,27,95.9,4.1,Floyd,0
R00107,02-09-20,Wednesday,FLOYDADA ISD,77901,670,33,95.08,4.92,Floyd,0
R00108,03-09-20,Thursday,FLOYDADA ISD,77901,672,32,95.24,4.76,Floyd,0
R00109,04-09-20,Friday,FLOYDADA ISD,77901,674,29,95.62,4.38,Floyd,0
R00110,07-09-20,Monday,FLOYDADA ISD,77901,671,31,100.0,0.0,Floyd,1
R00111,08-09-20,Tuesday,FLOYDADA ISD,77901,674,47,92.95,7.05,Floyd,0
R00112,09-09-20,Wednesday,FLOYDADA ISD,77901,674,54,91.99,8.01,Floyd,0
R00113,10-09-20,Thursday,FLOYDADA ISD,77901,674,35,94.73,5.27,Floyd,0
R00114,11-09-20,Friday,FLOYDADA ISD,77901,674,35,94.81,5.19,Floyd,0
R00115,14-09-20,Monday,FLOYDADA ISD,77901,674,34,94.96,5.04,Floyd,0
R00116,15-09-20,Tuesday,FLOYDADA ISD,77901,675,30,95.56,4.44,Floyd,0
R00117,16-09-20,Wednesday,FLOYDADA ISD,77901,675,31,95.34,4.66,Floyd,0
R00118,17-09-20,Thursday,FLOYDADA ISD,77901,675,33,95.11,4.89,Floyd,0
R00119,18-09-20,Friday,FLOYDADA ISD,77901,675,35,94.74,5.26,Floyd,0
R00120,21-09-20,Monday,FLOYDADA ISD,77901,674,35,94.81,5.19,Floyd,0
R00121,22-09-20,Tuesday,FLOYDADA ISD,77901,673,27,95.92,4.08,Floyd,0
R00122,23-09-20,Wednesday,FLOYDADA ISD,77901,672,37,94.42,5.58,Floyd,0
R00123,24-09-20,Thursday,FLOYDADA ISD,77901,672,27,95.91,4.09,Floyd,0
R00124,25-09-20,Friday,FLOYDADA ISD,77901,672,29,95.61,4.39,Floyd,0
R00125,29-09-20,Tuesday,FLOYDADA ISD,77901,677,28,95.79,4.21,Floyd,0
R00126,30-09-20,Wednesday,FLOYDADA ISD,77901,674,27,96.0,4.0,Floyd,0
R00127,01-10-20,Thursday,FLOYDADA ISD,77901,661,26,96.07,3.93,Floyd,0
R00128,02-10-20,Friday,FLOYDADA ISD,77901,661,57,91.31,8.69,Floyd,0
R00129,05-10-20,Monday,FLOYDADA ISD,77901,665,75,88.73,11.27,Floyd,0
R00130,06-10-20,Tuesday,FLOYDADA ISD,77901,665,64,90.38,9.62,Floyd,0
R00131,07-10-20,Wednesday,FLOYDADA ISD,77901,663,46,93.07,6.93,Floyd,0
R00132,08-10-20,Thursday,FLOYDADA ISD,77901,664,68,89.77,10.23,Floyd,0
R00133,09-10-20,Friday,FLOYDADA ISD,77901,666,47,92.87,7.13,Floyd,0
R00134,12-10-20,Monday,FLOYDADA ISD,77901,553,42,100.0,0.0,Floyd,1
R00135,13-10-20,Tuesday,FLOYDADA ISD,77901,667,57,91.45,8.55,Floyd,0
R00136,14-10-20,Wednesday,FLOYDADA ISD,77901,667,65,90.25,9.75,Floyd,0
R00137,15-10-20,Thursday,FLOYDADA ISD,77901,667,35,94.75,5.25,Floyd,0
R00138,16-10-20,Friday,FLOYDADA ISD,77901,669,36,94.54,5.46,Floyd,0
R00139,19-10-20,Monday,FLOYDADA ISD,77901,665,68,89.78,10.22,Floyd,0
R00140,20-10-20,Tuesday,FLOYDADA ISD,77901,668,70,89.45,10.55,Floyd,0
R00141,21-10-20,Wednesday,FLOYDADA ISD,77901,670,49,92.62,7.38,Floyd,0
R00142,22-10-20,Thursday,FLOYDADA ISD,77901,670,42,93.66,6.34,Floyd,0
R00143,23-10-20,Friday,FLOYDADA ISD,77901,670,50,92.54,7.46,Floyd,0
R00144,26-10-20,Monday,FLOYDADA ISD,77901,670,61,90.9,9.1,Floyd,0
R00145,27-10-20,Tuesday,FLOYDADA ISD,77901,670,1,99.85,0.15,Floyd,1
R00146,28-10-20,Wednesday,FLOYDADA ISD,77901,670,0,100.0,0.0,Floyd,1
R00147,29-10-20,Thursday,FLOYDADA ISD,77901,669,107,84.01,15.99,Floyd,0
R00148,30-10-20,Friday,FLOYDADA ISD,77901,668,68,89.82,10.18,Floyd,0
R00149,02-11-20,Monday,FLOYDADA ISD,77901,647,59,90.89,9.11,Floyd,0
R00150,03-11-20,Tuesday,FLOYDADA ISD,77901,645,46,92.87,7.13,Floyd,0
R00151,04-11-20,Wednesday,FLOYDADA ISD,77901,645,0,100.0,0.0,Floyd,1
R00152,05-11-20,Thursday,FLOYDADA ISD,77901,645,0,100.0,0.0,Floyd,1
R00153,06-11-20,Friday,FLOYDADA ISD,77901,645,0,100.0,0.0,Floyd,1
R00154,18-08-20,Tuesday,PASADENA ISD,101917,47762,9,99.98,0.02,Harris,1
R00155,19-08-20,Wednesday,PASADENA ISD,101917,48502,1212,97.5,2.5,Harris,0
R00156,20-08-20,Thursday,PASADENA ISD,101917,48910,1337,97.27,2.73,Harris,0
R00157,21-08-20,Friday,PASADENA ISD,101917,49162,1677,96.59,3.41,Harris,0
R00158,24-08-20,Monday,PASADENA ISD,101917,49313,1798,96.35,3.65,Harris,0
R00159,25-08-20,Tuesday,PASADENA ISD,101917,49398,2177,95.59,4.41,Harris,0
R00160,26-08-20,Wednesday,PASADENA ISD,101917,49387,18,99.96,0.04,Harris,1
R00161,27-08-20,Thursday,PASADENA ISD,101917,49387,8,99.98,0.02,Harris,1
R00162,28-08-20,Friday,PASADENA ISD,101917,49465,3639,92.64,7.36,Harris,0
R00163,31-08-20,Monday,PASADENA ISD,101917,49543,2240,95.48,4.52,Harris,0
R00164,01-09-20,Tuesday,PASADENA ISD,101917,49593,2104,95.76,4.24,Harris,0
R00165,02-09-20,Wednesday,PASADENA ISD,101917,49650,2130,95.71,4.29,Harris,0
R00166,03-09-20,Thursday,PASADENA ISD,101917,49693,2358,95.25,4.75,Harris,0
R00167,04-09-20,Friday,PASADENA ISD,101917,49723,3087,93.79,6.21,Harris,0
R00168,08-09-20,Tuesday,PASADENA ISD,101917,49791,2353,95.27,4.73,Harris,0
R00169,09-09-20,Wednesday,PASADENA ISD,101917,49911,2001,95.99,4.01,Harris,0
R00170,10-09-20,Thursday,PASADENA ISD,101917,49960,2091,95.81,4.19,Harris,0
R00171,11-09-20,Friday,PASADENA ISD,101917,50004,2503,94.99,5.01,Harris,0
R00172,14-09-20,Monday,PASADENA ISD,101917,50047,2434,95.14,4.86,Harris,0
R00173,15-09-20,Tuesday,PASADENA ISD,101917,50086,2248,95.51,4.49,Harris,0
R00174,16-09-20,Wednesday,PASADENA ISD,101917,50141,2125,95.76,4.24,Harris,0
R00175,17-09-20,Thursday,PASADENA ISD,101917,50174,2297,95.42,4.58,Harris,0
R00176,18-09-20,Friday,PASADENA ISD,101917,50203,2722,94.58,5.42,Harris,0
R00177,21-09-20,Monday,PASADENA ISD,101917,50180,20,99.96,0.04,Harris,1
R00178,22-09-20,Tuesday,PASADENA ISD,101917,50178,20,99.96,0.04,Harris,1
R00179,23-09-20,Wednesday,PASADENA ISD,101917,50177,21,99.96,0.04,Harris,1
R00180,24-09-20,Thursday,PASADENA ISD,101917,50228,2673,94.68,5.32,Harris,0
R00181,25-09-20,Friday,PASADENA ISD,101917,50275,3185,93.66,6.34,Harris,0
R00182,28-09-20,Monday,PASADENA ISD,101917,50300,2848,94.34,5.66,Harris,0
R00183,29-09-20,Tuesday,PASADENA ISD,101917,50350,2534,94.97,5.03,Harris,0
R00184,30-09-20,Wednesday,PASADENA ISD,101917,50377,2564,94.91,5.09,Harris,0
R00185,01-10-20,Thursday,PASADENA ISD,101917,50407,2626,94.79,5.21,Harris,0
R00186,02-10-20,Friday,PASADENA ISD,101917,50418,3118,93.82,6.18,Harris,0
R00187,05-10-20,Monday,PASADENA ISD,101917,50419,2975,94.1,5.9,Harris,0
R00188,06-10-20,Tuesday,PASADENA ISD,101917,50430,2807,94.43,5.57,Harris,0
R00189,07-10-20,Wednesday,PASADENA ISD,101917,50448,2327,95.39,4.61,Harris,0
R00190,08-10-20,Thursday,PASADENA ISD,101917,50471,2241,95.56,4.44,Harris,0
R00191,09-10-20,Friday,PASADENA ISD,101917,50486,3142,93.78,6.22,Harris,0
R00192,12-10-20,Monday,PASADENA ISD,101917,973,0,100.0,0.0,Harris,1
R00193,13-10-20,Tuesday,PASADENA ISD,101917,983,1,99.9,0.1,Harris,1
R00194,14-10-20,Wednesday,PASADENA ISD,101917,50500,1935,96.17,3.83,Harris,0
R00195,15-10-20,Thursday,PASADENA ISD,101917,50520,1598,96.84,3.16,Harris,0
R00196,16-10-20,Friday,PASADENA ISD,101917,50524,1991,96.06,3.94,Harris,0
R00197,19-10-20,Monday,PASADENA ISD,101917,50531,1953,96.14,3.86,Harris,0
R00198,20-10-20,Tuesday,PASADENA ISD,101917,50539,1659,96.72,3.28,Harris,0
R00199,21-10-20,Wednesday,PASADENA ISD,101917,50541,1535,96.96,3.04,Harris,0
R00200,22-10-20,Thursday,PASADENA ISD,101917,50549,1509,97.01,2.99,Harris,0
R00201,23-10-20,Friday,PASADENA ISD,101917,50543,1865,96.31,3.69,Harris,0
R00202,26-10-20,Monday,PASADENA ISD,101917,50529,1966,96.11,3.89,Harris,0
R00203,27-10-20,Tuesday,PASADENA ISD,101917,50548,1668,96.7,3.3,Harris,0
R00204,28-10-20,Wednesday,PASADENA ISD,101917,50561,1612,96.81,3.19,Harris,0
R00205,29-10-20,Thursday,PASADENA ISD,101917,50573,1726,96.59,3.41,Harris,0
R00206,30-10-20,Friday,PASADENA ISD,101917,50548,1969,96.1,3.9,Harris,0
R00207,02-11-20,Monday,PASADENA ISD,101917,50521,2042,95.96,4.04,Harris,0
R00208,03-11-20,Tuesday,PASADENA ISD,101917,12,6,50.0,50.0,Harris,0
R00209,04-11-20,Wednesday,PASADENA ISD,101917,50505,1491,97.05,2.95,Harris,0
R00210,05-11-20,Thursday,PASADENA ISD,101917,50508,1661,96.71,3.29,Harris,0
R00211,06-11-20,Friday,PASADENA ISD,101917,50505,2072,95.9,4.1,Harris,0
R00212,09-11-20,Monday,PASADENA ISD,101917,50479,2031,95.98,4.02,Harris,0
R00213,10-11-20,Tuesday,PASADENA ISD,101917,50501,1766,96.5,3.5,Harris,0
R00214,19-08-20,Wednesday,SNOOK ISD,26903,466,0,100.0,0.0,Burleson,1
R00215,20-08-20,Thursday,SNOOK ISD,26903,468,0,100.0,0.0,Burleson,1
R00216,21-08-20,Friday,SNOOK ISD,26903,469,3,99.36,0.64,Burleson,1
R00217,24-08-20,Monday,SNOOK ISD,26903,475,5,98.84,1.16,Burleson,1
R00218,25-08-20,Tuesday,SNOOK ISD,26903,477,11,97.59,2.41,Burleson,0
R00219,26-08-20,Wednesday,SNOOK ISD,26903,478,12,97.49,2.51,Burleson,0
R00220,27-08-20,Thursday,SNOOK ISD,26903,483,22,95.35,4.65,Burleson,0
